,FEN
152,1q4k1p5p1b6p2p2p1P3prN22P3P1PP1Q1P23R2K1
153,6k1p5p1b6p2p1qp1P3prN22P3P1PP1Q1P23R2K1
154,6k1p5p1b5Np2p1qp1P3pr32P3P1PP1Q1P23R2K1
155,6k1p5p1b2q2Np2p2p1P3pr32P3P1PP1Q1P23R2K1
156,6k1p5p1b2q3p2p2p1P3prN22P3P1PP1Q1P23R2K1
157,6k1p5p1b2q3p2p2p1P4rN22Pp2P1PP1Q1P23R2K1
158,6k1p5p1b2q3p2p2p1P4rN21PPp2P1P2Q1P23R2K1
159,6k1p5p1b2q3p5p1P2p1rN21PPp2P1P2Q1P23R2K1
160,6k1p5p1b2q3p5p1P2p1rN21PPp2P1P2Q1P21R4K1
161,8p5pkb2q3p5p1P2p1rN21PPp2P1P2Q1P21R4K1
162,8p5pkb2q3p5p1P2p1rN21PPp2P1P2Q1P1K1R6
163,8p5pkbq5p5p1P2p1rN21PPp2P1P2Q1P1K1R6
164,8p5pkbq5p5p1P2p1rN21PPp2P1P2Q1P21R4K1
165,8pb4pk1q5p5p1P2p1rN21PPp2P1P2Q1P21R4K1
166,8pb4pk1q5p5p1P2p1rN21PPp2P1PR1Q1P26K1
167,8pb4pk2q4p5p1P2p1rN21PPp2P1PR1Q1P26K1
168,8pb4pk2q4p5p1P2p1rN21PPp1PP1PR1Q46K1
169,8pb4pk7p2q2p1P2p1rN21PPp1PP1PR1Q46K1
170,8pb4pk7p2q2p1P2p1rN21PPp1PP1PR3Q26K1
171,8pb4pk7p2q2p1P2p2N21PPp1PP1PR3Q24r1K1
172,8pb4pk7p2q2p1P2p2N21PPp1PP1PR3Q1K4r3
173,8pb4pk7p5p1P2p2N21PPp1PP1PR3q1K4r3
174,8pb4pk7p5p1P2p2N21PPp1PP1P4R1K4r3
175,8p5pk7p5p1P2p2N21PPp1bP1P4R1K4r3
176,8p5pk7p5p1P2p2NP11PPp1b2P4R1K4r3
177,8p5pk7p5p1P2p2NP11PPp4P3bR1K4r3
178,8p5pk7p5p1P2p3P11PPp4P3bRNK4r3
179,8p5pk7p5p1P2p3P11PP5P2pbRNK4r3
180,8p5pk7p5p1P2p3P11PP1N3P2pbR1K4r3
181,8p5pk7p5p1P6P11pP1N3P2pbR1K4r3
182,8p5pk7p5p1P6P11PP1N33pbR1K4r3
183,8p5pk7p5p1P6b11PP1N33p1R1K4r3
184,rn1qkbnrpp2pppp2p53p1b22PP4P3P31P3PPPRNBQKBNR
185,rn1qkbnrpp3ppp2p1p33p1b22PP4P3P31P3PPPRNBQKBNR
186,rn1qkbnrpp3ppp2p1p32Pp1b23P4P3P31P3PPPRNBQKBNR
187,rn1qkbnr1p3ppp2p1p3p1Pp1b23P4P3P31P3PPPRNBQKBNR
188,rn1qkbnr1p3ppp2p1p3p1Pp1b23P4PQ2P31P3PPPRNB1KBNR
189,rn2kbnr1pq2ppp2p1p3p1Pp1b23P4PQ2P31P3PPPRNB1KBNR
190,rn2kbnr1pq2ppp2p1p3p1Pp1b23P4PQN1P31P3PPPR1B1KBNR
191,r3kbnr1pqn1ppp2p1p3p1Pp1b23P4PQN1P31P3PPPR1B1KBNR
192,r3kbnr1pqn1ppp2p1p3p1Pp1b2N2P4PQ2P31P3PPPR1B1KBNR
193,r3kb1r1pqn1ppp2p1pn2p1Pp1b2N2P4PQ2P31P3PPPR1B1KBNR
194,r3kb1r1pqn1ppp2p1pn2p1Pp1b2N2P4PQ2P31P2NPPPR1B1KB1R
195,r3k2r1pqnbppp2p1pn2p1Pp1b2N2P4PQ2P31P2NPPPR1B1KB1R
196,r3k2r1pqnbppp2p1pn2p1Pp1b2N2P4PQ2P1N11P3PPPR1B1KB1R
197,r3k2r1pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P3PPPR1B1KB1R
198,r3k2r1pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1B1PPPR3KB1R
199,r4rk11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1B1PPPR3KB1R
200,r4rk11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR3K2R
201,rr4k11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR3K2R
202,rr4k11pqnbppp2p1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR4RK1
203,rr4k12qnbppp1pp1pnb1p1Pp4N2P4PQ2P1N11P1BBPPPR4RK1
204,rr4k12qnbppp1Pp1pnb1p2p4N2P4PQ2P1N11P1BBPPPR4RK1
205,rr4k12q1bppp1np1pnb1p2p4N2P4PQ2P1N11P1BBPPPR4RK1
206,rr4k12q1bppp1Np1pnb1p2p43P4PQ2P1N11P1BBPPPR4RK1
207,r5k12q1bppp1rp1pnb1p2p43P4PQ2P1N11P1BBPPPR4RK1
208,r5k12q1bppp1rp1pnb1p2p43P4P1Q1P1N11P1BBPPPR4RK1
209,r5k11q2bppp1rp1pnb1p2p43P4P1Q1P1N11P1BBPPPR4RK1
210,r5k11q2bppp1rp1pnb1p2p43P4P1Q1P1N1RP1BBPPP5RK1
211,r5k11q1nbppp1rp1p1b1p2p43P4P1Q1P1N1RP1BBPPP5RK1
212,r5k11q1nbppp1rp1p1b1p2p43P4P1Q1P1N1RP1B1PPP3B1RK1
213,r5k11q1nbppp1r2p1b1p1pp43P4P1Q1P1N1RP1B1PPP3B1RK1
214,r5k11q1nbppp1r2p1b1p1pp4B2P4P1Q1P1N1RP1B1PPP5RK1
215,r5k11q1nbppp1r2p1b1p2p4B1pP4P1Q1P1N1RP1B1PPP5RK1
216,r5k11q1nbppp1r2p1b1p2p4B1pP4P3P1N1RP1B1PPP2Q2RK1
217,r5k11q2bppp1r2pnb1p2p4B1pP4P3P1N1RP1B1PPP2Q2RK1
218,r5k11q2bppp1r2pnb1p2p4B1pP4P1B1P1N1RP3PPP2Q2RK1
219,r5k11q3ppp1r1bpnb1p2p4B1pP4P1B1P1N1RP3PPP2Q2RK1
220,r5k11q3ppp1r1bpnb1p2p4B1pP4P1B1PPN1RP4PP2Q2RK1
221,rq4k15ppp1r1bpnb1p2p4B1pP4P1B1PPN1RP4PP2Q2RK1
222,rq4k15ppp1r1bpnb1p2p4B1pP1P2P1B1P1N1RP4PP2Q2RK1
223,rq4k15ppp1r1bpn2p2p4B1pP1P2P1BbP1N1RP4PP2Q2RK1
